source_page,source_table,Category,Count,Amount
1,1,Rice Noodle,454,"$6,811.07"
1,1,Tossed Rice Noodle,442,"$6,661.42"
1,1,Mai Dessert,17,$102.07
1,1,Ramen,977,"$14,615.30"
1,1,Appetizer,"1,273","$7,227.69"
1,1,Jas-Lemonade,90,$385.39
1,1,Fried Chicken,927,"$10,955.24"
1,1,Fried Rice,451,"$6,205.81"
1,1,Tossed Ramen,483,"$6,981.17"
1,1,Lunch Special,398,"$5,606.57"
1,1,Wonton,233,"$2,592.89"
1,1,Drink,"3,073","$1,737.27"
1,1,Additonal,167,$599.02
1,1,Combo Items,0,$0.00
1,1,Special Offer,131,"$1,658.01"
1,1,Milk Tea,530,"$2,417.89"
2,1,Prep item,1,$0.00
2,1,Fruit Tea,159,$679.79
